# Out-of-window IDs — captured outside the Artemis II mission window
# Skip on future runs

# Run: 2026-05-20T03:05:13.463Z
KSC-20260411-KED01-0544  # 2026-04-11T02:42:11.000Z
KSC-20260411-KED01-0553  # 2026-04-11T02:44:37.000Z
KSC-20260411-KED01-0587  # 2026-04-11T02:49:34.000Z
KSC-20260411-KED01-0636  # 2026-04-11T02:53:21.000Z
KSC-20260411-KED01-0657  # 2026-04-11T02:57:10.000Z
KSC-20260411-KED01-0659  # 2026-04-11T02:59:26.000Z
KSC-20260411-KED01-0668  # 2026-04-11T03:05:09.000Z
KSC-20260411-KED01-0670  # 2026-04-11T03:05:50.000Z
KSC-20260411-KED01-0672  # 2026-04-11T03:07:45.000Z
KSC-20260411-KED01-0673  # 2026-04-11T03:09:07.000Z
KSC-20260411-KED01-0675  # 2026-04-11T03:09:51.000Z
KSC-20260411-KED01-0679  # 2026-04-11T03:16:33.000Z
KSC-20260411-KED01-0680  # 2026-04-11T03:20:41.000Z
KSC-20260427-PH-JBS01_0007  # 2026-04-27T13:20:08.000Z
KSC-20260427-PH-JBS01_0012  # 2026-04-27T13:22:13.000Z
KSC-20260427-PH-JBS01_0022  # 2026-04-27T13:24:03.000Z
KSC-20260427-PH-JBS01_0045  # 2026-04-27T13:56:06.000Z
KSC-20260427-PH-JBS01_0063  # 2026-04-27T14:06:10.000Z
KSC-20260427-PH-JBS01_0080  # 2026-04-27T14:08:38.000Z
KSC-20260427-PH-JBS01_0123  # 2026-04-27T14:21:03.000Z
KSC-20260427-PH-JBS01_0150  # 2026-04-27T14:27:33.000Z
KSC-20260507-PH-JNR01_0001  # 2026-05-07T14:50:25.000Z
KSC-20260507-PH-JNR01_0002  # 2026-05-07T14:50:51.000Z
jsc2026e019255  # 2026-04-01T21:21:15.000Z
AFRC2025-0187-103  # 2026-01-06T08:53:37.000Z
AFRC2025-0187-122  # 2026-01-20T08:30:04.000Z
AFRC2025-0187-124  # 2026-01-20T08:30:08.000Z
AFRC2026-0017-24  # 2026-02-01T06:29:43.000Z
AFRC2026-0017-26  # 2026-02-01T06:33:00.000Z
AFRC2026-0017-28  # 2026-02-01T06:39:19.000Z
AFRC2026-0017-35  # 2026-02-01T06:53:13.000Z
AFRC2026-0017-37  # 2026-02-01T06:53:20.000Z
AFRC2026-0017-38  # 2026-02-01T06:53:45.000Z
AFRC2026-0017-42  # 2026-02-01T06:54:20.000Z
AFRC2026-0017-49  # 2026-02-01T06:34:00.000Z
AFRC2026-0017-52  # 2026-02-01T03:46:59.000Z
AFRC2026-0017-55  # 2026-02-01T07:22:59.000Z
AFRC2026-0017-57  # 2026-02-01T07:27:29.000Z
AFRC2026-0017-76  # 2026-03-30T00:19:53.000Z
AFRC2026-0017-77  # 2026-03-30T00:23:27.000Z
AFRC2026-0017-78  # 2026-03-30T00:30:58.000Z
AFRC2026-0017-79  # 2026-03-30T00:33:22.000Z
AFRC2026-0017-80  # 2026-03-30T00:35:18.000Z
AFRC2026-0017-81  # 2026-03-30T03:58:34.000Z
AFRC2026-0017-82  # 2026-03-30T04:01:49.000Z
AFRC2026-0017-83  # 2026-03-30T04:23:40.000Z
AFRC2026-0017-84  # 2026-03-30T04:27:58.000Z
